"Country","Food_monthly","Mean_Cost_transport","Min_Cost_transport","Max_Cost_transport","Mean_House_cost","Min_House_cost","Max_House_cost","Extra","Total_Mean_Cost","Total_Min_Cost","Total_Max_Cost"
"Albania",152.765,137.831484375,13.13,177.0484375,250.769833333333,166.049,353.749,136.4175,677.783817708333,468.3615,819.9799375
"Armenia",144.565,123.990807291667,11.27,153.15203125,253.2245,153.630333333333,369.127,166.034166666667,687.814473958333,475.4995,832.878197916667
"Austria",283.235,178.537552083333,48,190.8459375,720.478333333333,494.791666666667,984.715,188.300833333333,1370.55171875,1014.3275,1647.09677083333
"Azerbaijan",148.05,108.376953125,9.63,126.090572916667,225.316666666667,137.426666666667,327.68,151.243333333333,632.986953125,446.35,753.06390625
"Belarus",192.63,109.153072916667,13.48,134.63203125,277.297166666667,169.016333333333,417.143,160.608333333333,739.688572916667,535.734666666667,905.013364583333
"Belgium",344.06,177.044609375,49,199.880885416667,701.302666666667,480.037666666667,946.001,183.848333333333,1406.255609375,1056.946,1673.79021875
"Bosnia and Herz.",135.975,137.54984375,24.77,159.89140625,271.600333333333,203.997,346.682,141.19,686.315177083333,505.932,783.73840625
"Bulgaria",159.538333333333,139.886614583333,22.1366666666667,160.836892361111,258.256555555555,182.133777777778,344.972666666666,129.281111111111,686.962614583333,493.089888888889,794.629003472222
"Croatia",209.87,167.007786458333,48.36,184.211302083333,446.484,313.739,606.029,177.436666666667,1000.798453125,749.405666666667,1177.54696875
"Czechia",186.07,144.269869791667,21.82,173.844713541667,583.1355,392.906333333333,804.503,170.222916666667,1083.69828645833,771.01925,1334.64063020833
"Denmark",402.31,242.34109375,53.53,256.916979166667,1015.45816666667,706.644,1389.294,243.221666666667,1903.33092708333,1405.70566666667,2291.74264583333
"Estonia",222.19,142.913151041667,23,171.159635416667,481.933333333333,337.935,667.445,187.360833333333,1034.39731770833,770.485833333333,1248.15546875
"Finland",358.765,196.890546875,59.7,219.497760416667,762.822,492.737,1055.947,208.063333333333,1526.54088020833,1119.26533333333,1842.27309375
"France",375.49,203.440625,75,219.902083333333,997.7705,711.754666666667,1310.288,218.385,1795.086125,1380.62966666667,2124.06508333333
"Georgia",125.92,81.4728385416667,9.34,104.94421875,247.844666666667,160.064666666667,350.558,146.38,601.617505208333,441.704666666667,727.80221875
"Germany",269.77375,192.086197916667,80.85,190.015104166667,884.721041666667,645.323333333333,1174.5025,200.88625,1547.46723958333,1196.83333333333,1835.17760416667
"Greece",246.6,157.997161458333,30,190.942239583333,380.0535,295.619333333333,477.036,173.095833333333,957.746494791667,745.315166666667,1087.67407291667
"Hungary",168.865,142.456901041667,28.46,165.951666666667,448.827166666667,321.781333333333,590.638,157.8125,917.961567708333,676.918833333333,1083.26716666667
"Iceland",510.715,241.998854166667,93.15,254.772708333333,1111.06383333333,730.953,1549.803,276.495,2140.2726875,1611.313,2591.78570833333
"Ireland",351.255,234.913723958333,125,219.827447916667,1357.8715,909.579,1837.629,206.595,2150.63522395833,1592.429,2615.30644791667
"Italy",338.1575,182.916432291667,37,216.59328125,851.953666666667,566.037833333333,1175.4545,227.5775,1600.60509895833,1168.77283333333,1957.78278125
"Kosovo",117.73,148.070833333333,12.4,179.575,235.248666666667,157.748666666667,321.082,111.665,612.7145,399.543666666667,730.052
"Latvia",199.36,155.712291666667,50,167.674583333333,392.940166666667,291.347666666667,513.731,169.4775,917.489958333333,710.185166666667,1050.24308333333
"Lithuania",193.45,143.017721354167,28.5,165.087526041667,365.653166666667,241.984833333333,512.4365,160.8525,862.973388020833,624.787333333333,1031.82652604167
"Luxembourg",454.305,194.457395833333,35.24,222.331041666667,1407.469,972.729,1841.619,221.301666666667,2277.5330625,1683.57566666667,2739.55670833333
"Moldova",140.465,121.495338541667,9.33,148.581927083333,252.617,193.992,328.202,158.3575,672.934838541667,502.1445,775.606427083333
"Montenegro",160.335,142.904609375,25,172.319635416667,295.044666666667,213.756333333333,391.193,153.216666666667,751.500942708333,552.308,877.064302083333
"Netherlands",326.76125,225.06255859375,82.355,241.552669270833,950.990083333333,607.970916666667,1335.71675,206.931041666667,1709.74493359375,1224.01820833333,2110.9617109375
"North Macedonia",148.8,189.1215625,23.8,202.281666666667,256.1525,183.153333333333,353.33,155.940833333333,750.014895833333,511.694166666667,860.3525
"Norway",500.13,258.958723958333,75.83,261.739114583333,1007.8935,665.601,1413.901,235.763333333333,2002.74555729167,1477.32433333333,2411.53344791667
"Poland",160.809166666667,141.741410590278,23.7416666666667,164.606163194444,460.494027777778,327.649166666667,615.179166666667,153.4075,916.452105034722,665.6075,1094.00199652778
"Portugal",211.71,193.486822916667,35.5,218.9215625,630.089833333333,418.328166666667,870.3765,184.262083333333,1219.54873958333,849.80025,1485.27014583333
"Romania",155.753,129.82553125,15.688,160.803333333333,296.558966666667,207.522133333333,403.2828,141.736666666667,723.874164583333,520.6998,861.5758
"Russia",183.3325,134.6206640625,28.7075,138.5642578125,427.464333333333,280.583916666667,602.54225,182.704375,928.121872395833,675.328291666667,1107.1433828125
"Serbia",143.9475,147.873463541667,23.585,172.602421875,302.759416666667,217.017333333333,402.469,149.575833333333,744.156213541667,534.125666666667,868.594755208333
"Slovakia",192.44,136.042057291667,27,161.75078125,568.8905,398.819666666667,769.603,153.29,1050.66255729167,771.549666666667,1277.08378125
"Slovenia",228.9,156.641796875,37,177.325260416667,567.187833333333,417.337,736.117,172.291666666667,1125.021296875,855.528666666667,1314.63392708333
"Spain",241.606666666666,169.286953125,48.8333333333333,185.57390625,674.597333333333,430.237333333333,958.140666666666,176.632222222222,1262.12317534722,897.309555555555,1561.95346180555
"Sweden",347.37,183.78109375,73.475,191.623255208333,757.123583333333,448.753166666667,1119.2315,207.364166666667,1495.63884375,1076.96233333333,1865.588921875
"Switzerland",627.935,235.868763020833,76.12,246.043958333333,1327.96666666667,948.7325,1773.5275,305.376666666667,2497.14709635417,1958.16416666667,2952.883125
"Turkey",144.58125,160.516842447917,25.0275,170.962317708333,188.727666666667,126.115166666667,267.4885,103.216666666667,597.04242578125,398.940583333333,686.248734375
"Ukraine",139.28,148.4390234375,9.0025,175.367317708333,335.459416666667,220.1865,483.729,168.799375,791.977815104167,537.268375,967.175692708333
"United Kingdom",347.965,255.555546875,167.34,222.281666666667,1508.95033333333,940.667,2164.647,214.754166666667,2327.225046875,1670.72616666667,2949.64783333333
